Target,Average Shift,SD,SE,CV,run
p-mTOR_ch2,329.38113500000003,17.964607039282356,8.982303519641178,5.454048556631015,XP-001a
p-MAPK_ch1,587.623049,53.20619388612029,26.603096943060144,9.054477011523808,XP-001a
p-MAPK_ch2,366.224575,43.447520311193436,21.723760155596718,11.863627751139703,XP-001a
p-Akt_473_ch1,373.14606000000003,31.834705048256186,15.917352524128093,8.531432717862861,XP-001a
p-Akt_473_ch2,336.24881000000005,24.210973348708396,12.105486674354198,7.200314953890363,XP-001a
p-p53_ch1,414.3173775,60.45127602300076,30.22563801150038,14.590572181105474,XP-001a
p-p53_ch2,386.1829975,22.210056657090245,11.105028328545123,5.751174132696053,XP-001a
p-Src_ch1,711.97209,18.064583101385647,9.032291550692824,2.5372600071142744,XP-001a
p-Src_ch2,440.191915,16.498236870887148,8.249118435443574,3.7479645374420714,XP-001a
hydroxy-HIF_ch1,562.863955,46.237048816337406,23.118524408168703,8.214604684774566,XP-001a
thermal,0.6018450000000009,0.3007519750835684,0.1503759875417842,49.97166630670155,XP-001b
p-c-Abl_ch1,259.4263625,10.822084279870731,5.411042139935366,4.171543776654823,XP-001b
p-c-Abl_ch2,151.139335,19.435139515660808,9.717569757830404,12.859087619818368,XP-001b
hydroxy-HIF_ch2,176.71344499999998,7.047112354664193,3.5235561773320967,3.987875599767858,XP-001b
p-PDK1_ch1,463.43473500000005,23.405567064749793,11.702783532374896,5.050455931998664,XP-001b
p-PDK1_ch2,379.64163750000006,102.77571715814149,51.387858579070745,27.071771640996957,XP-001b
p-GSK3b_ch1,598.103835,53.039048055709245,26.519524027854622,8.867866238595385,XP-001b
p-GSK3b_ch2,474.7426925,22.750340512929142,11.375170256464571,4.792141274071142,XP-001b
p-p70S6K_ch1,400.82941000000005,55.4700312270004,32.02563746086563,13.838812682682239,XP-001b
p-p70S6K_ch2,323.640685,61.98857611938804,30.99428805969402,19.153517772151556,XP-001b
p-S6_235_ch1,273.308515,20.247993759907843,10.123996879953921,7.408475275608535,XP-001b
p-S6_235_ch2,156.258395,43.158311960743625,21.579155980371812,27.619835696343625,XP-001b
p-Rb_780_ch1,322.36276,41.71291040180686,20.85645520090343,12.939742295855408,XP-001b
p-Rb_780_ch2,166.284965,10.647670015970633,5.323835007985316,6.4032668353213005,XP-001b
p-Akt_308_ch1,190.33730250000002,31.499351208097785,15.749675604048893,16.549226449238862,XP-001b
p-Akt_308_ch2,122.12793250000001,24.1916535422576,12.0958267711288,19.808452535833766,XP-001b
p-S6_240_ch1,403.31705999999997,21.890988775349985,10.945494387674993,5.427736871668653,XP-001b
p-S6_240_ch2,206.0098575,17.93321796909741,8.966608984548705,8.705029063523044,XP-001b
p-Rb_807_ch1,360.67683999999997,18.537737579741673,9.268868789870837,5.139708327194414,XP-001b
p-Rb_807_ch2,142.78172,24.787740706638974,12.393870353319487,17.360584188675535,XP-001b
p-mTOR_ch1,164.63733625,26.08955737811918,13.04477868905959,15.846683366221665,XP-001b
p-mTOR_ch2,133.2675375,24.798696860478206,12.399348430239103,18.60820521312492,XP-001b
p-MAPK_ch1,276.3852625,14.997191814992949,7.498595907496474,5.426190846551722,XP-001b
p-MAPK_ch2,161.36058,9.714472768253222,4.857236384126611,6.02035067564409,XP-001b
p-Akt_473_ch1,188.99130000000002,36.97288349717491,18.486441748587456,19.56327275233035,XP-001b
p-Akt_473_ch2,139.447861,12.52790893073377,6.263954465366885,8.983937681721608,XP-001b
p-p53_ch1,221.84507250000001,35.84736677434516,17.92368338717258,16.15873923652064,XP-001b
p-p53_ch2,155.74987,9.782984125493934,4.891492062746967,6.281214954140209,XP-001b
p-Src_ch1,381.81076,28.09845217344305,14.049226086721525,7.359261476403402,XP-001b
